Timestamp,Epoch,Train_Loss,Val_Loss,Epoch_Time(s),Best_Val_Loss,Improved
2025-11-03 10:18:43,1,0.111173,0.099820,37.12,0.099820,Yes
2025-11-03 10:19:16,2,0.097640,0.095658,33.05,0.095658,Yes
2025-11-03 10:19:51,3,0.094399,0.093174,34.96,0.093174,Yes
2025-11-03 10:20:24,4,0.092425,0.092357,33.91,0.092357,Yes
2025-11-03 10:20:58,5,0.091103,0.091045,33.81,0.091045,Yes
2025-11-03 10:21:33,6,0.090355,0.090431,34.73,0.090431,Yes
2025-11-03 10:22:09,7,0.089762,0.090023,36.05,0.090023,Yes
2025-11-03 10:22:46,8,0.089324,0.089359,37.31,0.089359,Yes
2025-11-03 10:23:21,9,0.088953,0.088924,34.31,0.088924,Yes
2025-11-03 10:24:29,10,0.088663,0.088709,67.85,0.088709,Yes
2025-11-03 10:26:28,11,0.088362,0.088309,119.60,0.088309,Yes
2025-11-03 10:28:58,12,0.088197,0.088381,149.56,0.088309,No
2025-11-03 10:30:51,13,0.088016,0.088142,113.46,0.088142,Yes
2025-11-03 10:32:08,14,0.087876,0.088138,76.65,0.088138,Yes
2025-11-03 10:32:39,15,0.087726,0.087894,30.92,0.087894,Yes
2025-11-03 10:33:14,16,0.087608,0.087756,35.10,0.087756,Yes
2025-11-03 10:34:13,17,0.087458,0.087906,59.45,0.087756,No
2025-11-03 10:35:29,18,0.087298,0.087320,75.45,0.087320,Yes
2025-11-03 10:36:22,19,0.087198,0.087549,53.18,0.087320,No
2025-11-03 10:36:58,20,0.087092,0.087600,35.51,0.087320,No
2025-11-03 10:37:33,21,0.086986,0.087220,35.75,0.087220,Yes
2025-11-03 10:38:09,22,0.086940,0.087195,35.59,0.087195,Yes
2025-11-03 10:38:45,23,0.086761,0.087207,36.50,0.087195,No
2025-11-03 10:39:25,24,0.086686,0.087115,39.35,0.087115,Yes
2025-11-05 09:17:13,25,0.086614,0.086639,90.00,0.086639,Yes
2025-11-05 09:18:27,26,0.086569,0.086316,74.43,0.086316,Yes
2025-11-05 09:19:48,27,0.086438,0.086351,80.79,0.086316,No
2025-11-05 09:21:03,28,0.086341,0.086563,75.55,0.086316,No
2025-11-05 09:22:16,29,0.086204,0.086236,72.84,0.086236,Yes
2025-11-05 09:23:31,30,0.086123,0.086047,74.48,0.086047,Yes
2025-11-05 09:24:39,31,0.086093,0.086296,67.86,0.086047,No
2025-11-05 09:26:01,32,0.086021,0.086172,82.63,0.086047,No
2025-11-05 09:27:37,33,0.085988,0.086336,95.74,0.086047,No
2025-11-05 09:29:08,34,0.085933,0.086071,90.82,0.086047,No
2025-11-05 09:30:24,35,0.085893,0.086132,76.07,0.086047,No
2025-11-05 09:31:43,36,0.085832,0.086178,79.16,0.086047,No
2025-11-05 09:33:19,37,0.085760,0.085841,95.50,0.085841,Yes
2025-11-05 09:34:48,38,0.085714,0.085936,89.14,0.085841,No
2025-11-05 09:36:10,39,0.085672,0.085815,82.78,0.085815,Yes
2025-11-05 09:37:41,40,0.085638,0.085528,90.99,0.085528,Yes
2025-11-05 09:39:24,41,0.085580,0.085641,102.03,0.085528,No
2025-11-05 09:41:12,42,0.085549,0.085665,108.27,0.085528,No
2025-11-05 09:42:43,43,0.085498,0.086149,90.71,0.085528,No
2025-11-05 09:44:39,44,0.085467,0.085531,116.62,0.085528,No
2025-11-05 09:46:25,45,0.085452,0.085683,106.15,0.085528,No
2025-11-05 09:49:31,46,0.085405,0.085547,186.08,0.085528,No
2025-11-05 09:51:19,47,0.085347,0.085322,107.35,0.085322,Yes
2025-11-05 09:53:02,48,0.085344,0.085556,103.04,0.085322,No
2025-11-05 09:54:26,49,0.085283,0.085520,84.14,0.085322,No
